rowID,playerID,gameID,Year,Date,G#,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,TD,Pts,KRt,KRYds,Y/Rt,KRTD,PRet,PRYds,Y/R,PRTD,PassBonus,RushBonus,RecBonus,FPTs,
,76,4,1991,9/29/1991,5,29-210,MIN,,DEN,L 6-13,12,103,8.58,0,,3,17,5.67,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,18,
,76,5,1990,11/18/1990,10,28-260,MIN,@,SEA,W 24-21,16,99,6.19,1,,4,29,7.25,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,22.8,
,76,6,1991,11/17/1991,12,29-259,MIN,@,GNB,W 35-21,20,95,4.75,1,,1,7,7,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,17.2,
,76,7,1989,10/22/1989,7,27-233,MIN,@,DET,W 20-7,20,89,4.45,1,,3,7,2.33,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,18.6,
,76,8,1991,9/1/1991,1,29-182,MIN,@,CHI,L 6-10,20,86,4.3,0,,3,11,3.67,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,12.7,
,76,9,1991,10/27/1991,9,29-238,MIN,@,PHO,W 28-0,17,79,4.65,3,,1,4,4,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,27.3,
,76,10,1990,12/9/1990,13,28-281,MIN,@,NYG,L 15-23,15,78,5.2,0,,2,19,9.5,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,11.7,
,76,11,1990,9/30/1990,4,28-211,MIN,,TAM,L 20-23,11,8,0.73,0,,1,16,16,0,,,0,1,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,3.4,
,76,12,1991,9/22/1991,4,29-203,MIN,@,NOR,L 0-26,10,15,1.5,0,,2,10,5,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,4.5,
,76,13,1991,10/13/1991,7,29-224,MIN,,PHO,W 34-7,12,30,2.5,1,,2,12,6,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,12.2,
,76,14,1990,12/2/1990,12,28-274,MIN,,GNB,W 23-7,12,35,2.92,0,,3,26,8.67,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,9.1,
,76,15,1989,12/3/1989,13,27-275,MIN,,CHI,W 27-16,18,36,2,1,,2,22,11,0,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,13.8,
,76,16,1990,9/16/1990,2,28-197,MIN,,NOR,W 32-3,10,39,3.9,0,,5,23,4.6,1,,,0,0,,0,0,0,,,,,,,,,,,,,,,,0,0,0,17.2,
,77,1,1998,11/29/1998,12,26-060,ATL,@,STL,W 21-10,31,188,6.06,1,5,2,9,4.5,0,40.00%,1.8,0,0,,0,0,0,,,,,,,,,,,,,,,,0,3,0,30.7,21.8425
